Famillies	Hospital	Sewage
Aeromonadaceae	7	18
Alteromonadaceae	0	1
Azonexaceae	0	1
Bacteroidaceae	8	4
Bifidobacteriaceae	16	0
Bradyrhizobiaceae	2	0
Brucellaceae	1	0
Burkholderiaceae	2	6
Campylobacterales	1	1
Caulobacteraceae	5	0
Chlamydiaceae	2	1
Chromobacteriaceae	1	0
Clostridiaceae	1	5
Comamonadaceae	12	7
Desulfobacteraceae	1	0
Enterobacteriaceae	86	45
Erwiniaceae	0	1
Erysipelotrichaceae	0	2
Flavobacteriaceae	13	14
Geobacteraceae	1	0
Hafniaceae	2	0
Methylobacteriaceae	5	0
Microbacteriaceae	1	0
Micrococcaceae	0	1
Moraxellaceae	80	46
Mycobacteriaceae	3	2
Nitrosomonadaceae	0	1
Nitrospiraceae	0	1
Peptoniphilaceae	1	0
Peptostreptococcaceae	0	6
Porphyromonadaceae	0	1
Pseudomonadaceae	61	43
Rhizobiaceae	9	0
Rhodobacteraceae	2	0
Shewanellaceae	0	3
Sphingomonadaceae	7	0
Staphylococcaceae	23	0
Streptococcaceae	7	4
Vibrionaceae	1	0
Xanthomonadaceae	23	1
Yersiniaceae	3	1